pct_caida_ath,pct_caida,pct_venta,floor_pct,pendiente,last_op_on_sell,pnl_pct,portfolio_final,usdt_final,btc_libre,btc_en_pos,btc_total,n_pos_final,total_compras,total_ventas,total_trades,max_drawdown,btc_libre_usd,btc_total_usd,pnl_norm,btcl_norm,btct_norm,combo_score
0.4,0.015,0.05,25,96,True,69.1015,1691.01,1000.0,0.0108891,0.0,0.0108891,0,184,184,368,62.65,691.0146636300001,691.0146636300001,0.9369511144854783,0.9369265106307979,0.22557051282051307,0.7946676129960811
0.4,0.035,0.06,30,86,True,69.1014,1691.01,1000.0,0.01088909,0.0,0.01088909,0,140,140,280,61.5,691.0140290370001,691.0140290370001,0.9369496980067311,0.936925611392273,0.22556730769230796,0.7946659939595091
0.4,0.025,0.06,25,81,True,69.0941,1690.94,1000.0,0.01088794,0.0,0.01088794,0,203,203,406,61.8,690.9410508420001,690.9410508420001,0.936846295058189,0.9368221989619191,0.22519871794871818,0.7945095508074138
0.4,0.02,0.06,30,51,True,69.0593,1690.59,1000.0,0.01088246,-0.0,0.01088246,0,292,292,584,61.71,690.593293878,690.593293878,0.9363533604541797,0.9363294162503192,0.2234423076923078,0.7937639666406471
0.4,0.02,0.05,25,71,True,69.0557,1690.56,1000.0,0.01088189,0.0,0.01088189,0,272,272,544,61.88,690.557122077,690.557122077,0.9363023672192823,0.9362781596544046,0.22325961538461547,0.7936865545828856
0.4,0.02,0.035,30,76,True,69.0429,1690.43,1000.0,0.01087988,-0.0,0.01087988,0,310,310,620,61.31,690.429568884,690.429568884,0.9361210579396467,0.9360974127109164,0.22261538461538463,0.7934128297061751
0.4,0.02,0.05,30,61,True,68.9212,1689.21,1000.0,0.01086069,0.0,0.01086069,0,278,278,556,61.86,689.2117849169999,689.2117849169999,0.9343972033043616,0.9343717739817922,0.21646474358974344,0.7908030825646671
0.4,0.02,0.045,25,96,True,68.9184,1689.18,1000.0,0.01086025,0.0,0.01086025,0,224,224,448,62.23,689.183862825,689.183862825,0.9343575418994414,0.9343322074867003,0.21632371794871808,0.7907431767854745
0.4,0.03,0.06,20,96,True,68.9131,1689.13,1000.0,0.01085942,0.0,0.01085942,0,188,188,376,61.55,689.131191606,689.131191606,0.9342824685258423,0.9342575706891404,0.21605769230769234,0.7906300439312017
0.4,0.02,0.05,15,96,True,68.9057,1689.06,1000.0,0.01085825,0.0,0.01085825,0,278,278,556,61.86,689.056944225,689.056944225,0.9341776490985529,0.9341523597817368,0.21568269230769235,0.790471070945336
0.4,0.02,0.035,25,86,True,68.8968,1688.97,1000.0,0.01085685,-0.0,0.01085685,0,315,315,630,61.28,688.968101205,688.968101205,0.9340515824900564,0.9340264663882624,0.2152339743589743,0.7902805260333018
0.4,0.015,0.05,30,81,True,68.8939,1688.94,1000.0,0.01085639,0.0,0.01085639,0,186,186,372,62.62,688.938909927,688.938909927,0.9340105046063889,0.9339851014161209,0.21508653846153872,0.7902180904203384
0.4,0.02,0.05,20,81,True,68.8373,1688.37,1000.0,0.01084747,0.0,0.01084747,0,278,278,556,61.85,688.372852971,688.372852971,0.9332087776355004,0.9331829806519839,0.2122275641025641,0.7890047958338582
0.4,0.025,0.06,20,91,True,68.8113,1688.11,1000.0,0.01084337,0.0,0.01084337,0,208,208,416,61.75,688.1126698410001,688.1126698410001,0.9328404931612406,0.9328142928568088,0.21091346153846155,0.7884472267453553
0.4,0.025,0.05,25,76,True,68.7774,1687.77,1000.0,0.01083803,-0.0,0.01083803,0,257,257,514,61.55,687.7737971790001,687.7737971790001,0.9323603068659558,0.9323340994845565,0.20920192307692326,0.7877207678937295
0.4,0.025,0.05,30,66,True,68.7765,1687.76,1000.0,0.01083789,-0.0,0.01083789,0,257,257,514,61.55,687.764912877,687.764912877,0.9323475585572314,0.9323215101452089,0.20915705128205117,0.7877016425785887
0.4,0.03,0.06,30,71,True,68.7651,1687.65,1000.0,0.0108361,0.0,0.0108361,0,194,194,388,61.53,687.65132073,687.65132073,0.9321860799800561,0.9321605464492667,0.2085833333333333,0.7874578705914747
0.4,0.01,0.045,30,96,False,68.7634,1687.63,1000.0,0.01083582,-0.0,0.01083582,0,126,126,252,59.29,687.633552126,687.633552126,0.9321619998413545,0.9321353677705718,0.20849358974358967,0.7874203282005667
0.4,0.025,0.055,30,76,True,68.7519,1687.52,1000.0,0.01083402,-0.0,0.01083402,0,192,192,384,61.9,687.519325386,687.519325386,0.9319991047854319,0.9319735048361047,0.2079166666666667,0.7871749371768807
0.4,0.02,0.045,30,81,True,68.7255,1687.26,1000.0,0.01082986,-0.0,0.01082986,0,231,231,462,62.19,687.2553346980001,687.2553346980001,0.9316251543961834,0.9315994216097808,0.20658333333333348,0.7866090703476927
0.4,0.015,0.05,25,91,True,68.7147,1687.15,1000.0,0.01082815,0.0,0.01082815,0,190,190,380,62.59,687.146819295,687.146819295,0.9314721746914909,0.9314456518220371,0.2060352564102565,0.7863768341744078
0.4,0.02,0.06,20,66,True,68.7099,1687.1,1000.0,0.0108274,-0.0,0.0108274,0,310,310,620,61.63,687.09922482,687.09922482,0.9314041837116277,0.9313782089326758,0.20579487179487163,0.7862745288945908
